index 8
DMU 50
input 2
output 2
instance 8
DMU   i1   i2   o1   o2   eff  err
  1   45   21   32   38    73    8
  2   38   34   37   38    80    8
  3   20   11   17   20    81    5
  4   48   48   55   55    98    8
  5   10   15   23   22    97   11
  6   43   16   40   47    76   18
  7   27   34   39   37    65   19
  8   32   46   55   51    93   19
  9   23   37   39   35    81   14
 10   24   35   28   26    75    6
 11   32   11   23   29    87    5
 12   46   10   26   35    80    4
 13   16   44   42   35    76   19
 14   36   46   43   40    98    3
 15   43   21   25   29    62    5
 16   49   28   27   31    67    1
 17   43   22   33   39    88    5
 18   22   25   28   28    78   10
 19   12   22   29   26    75   16
 20   12   34   31   26    79   13
 21   33   49   45   40    93    7
 22   38   43   43   42    84    9
 23   43   11   34   45    99    8
 24   15   31   15   12    66    0
 25   25   42   46   41    76   20
 26   14   40   36   30    61   19
 27   34   29   45   46    94   15
 28   21   10   16   19    78    4
 29   29   12   32   36    78   16
 30   19   32   22   18    81    1
 31   41   49   40   38    76    6
 32   33   42   38   36    77    9
 33   46   31   51   55    85   18
 34   25   49   45   39    72   18
 35   24   11   23   27    87    8
 36   46   44   44   44    75   10
 37   43   19   23   28    68    2
 38   27   29   34   34    64   16
 39   35   16   28   32    61   13
 40   16   17   26   26    79   13
 41   17   41   28   21    84    3
 42   21   48   41   34    81   13
 43   19   14   23   24    61   13
 44   31   48   31   28    64    6
 45   39   18   36   41    81   13
 46   20   11   28   30    90   14
 47   17   22   23   22    89    6
 48   13   30   22   18    63    8
 49   30   13   30   33    60   17
 50   23   20   39   39    91   19
