index 93
DMU 50
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   22   20   23   18   33   35   34   36   34   34    81   16
  2   17   11   37   11   28   22   20   25   20   23    83    5
  3   45   36   25   49   38   31   33   30   33   31    73    3
  4   48   39   46   33   49   38   37   40   37   37    85    2
  5   19   38   32   47   43   43   45   42   44   44    79   14
  6   29   24   24   37   45   44   45   44   44   44    81   18
  7   43   22   13   36   42   29   30   29   29   27    70    7
  8   13   27   21   36   27   36   38   35   37   37    78   16
  9   31   29   36   39   27   36   38   37   37   38    95    6
 10   12   47   30   43   49   41   41   38   41   42    90    7
 11   50   37   15   21   13   34   33   33   35   32    63   17
 12   42   43   10   30   39   36   35   34   36   33    71   12
 13   18   17   32   30   23   28   28   28   28   29    61   13
 14   39   48   12   48   12   35   39   30   40   35    98    4
 15   42   16   37   11   19   38   37   42   37   38    92   17
 16   11   15   14   47   10   38   44   36   41   41    96   19
 17   24   42   45   22   21   36   34   37   36   37    86   10
 18   27   35   17   43   42   44   45   42   45   43    76   18
 19   32   46   11   24   18   30   29   27   32   28    83    8
 20   28   25   13   36   37   33   34   31   33   32    68   13
 21   19   11   49   37   30   41   43   44   40   44    94   14
 22   21   32   43   26   38   27   26   28   26   28    78    2
 23   33   16   40   48   25   21   25   23   22   23    68    0
 24   49   31   42   26   38   53   51   55   52   52    96   18
 25   44   32   41   45   21   43   46   44   45   44    96    9
 26   17   12   42   47   21   35   39   36   36   39    94    9
 27   35   19   45   45   30   43   46   45   44   46    92   12
 28   26   33   25   25   49   23   22   23   22   22    62    3
 29   48   12   29   19   49   31   30   33   29   29    67   10
 30   27   27   49   34   20   34   35   36   34   37    95    5
 31   20   34   30   24   46   37   35   37   36   36    65   16
 32   17   14   42   23   22   28   28   31   27   30    99    5
 33   35   48   41   13   29   37   33   37   36   36    76   12
 34   49   42   25   33   18   34   34   33   36   33    80    8
 35   47   31   14   20   28   39   38   39   39   36    91   14
 36   31   44   39   48   17   36   39   35   39   39    94    3
 37   18   16   16   36   43   36   38   36   36   36    90   12
 38   30   39   44   29   42   43   41   43   41   43    88   10
 39   25   42   25   34   11   26   27   24   28   27    88    2
 40   45   17   25   50   28   32   37   33   34   33    91    3
 41   16   44   26   34   12   24   24   21   25   25    70    5
 42   27   24   16   20   23   31   30   30   31   30    71   15
 43   17   19   25   16   25   20   19   21   19   20    94    1
 44   27   18   25   26   27   27   27   27   27   27    60   12
 45   35   38   23   20   24   28   27   28   29   27    84    5
 46   34   45   22   18   18   38   36   36   38   36    80   16
 47   41   24   28   12   46   28   25   29   25   25    75    5
 48   26   20   18   43   39   28   30   27   28   28    75    5
 49   28   29   31   43   28   38   39   37   39   39    68   16
 50   41   49   17   23   48   40   38   38   39   37    68   15
