index 273
DMU 150
input 3
output 3
instance 3
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   15   23   11   27   28   27    72   15
  2   23   14   36   18   17   18    75    1
  3   34   44   26   32   32   32    77    4
  4   18   39   17   31   31   30    99    4
  5   27   18   38   33   32   33    65   16
  6   47   37   41   50   51   51    90   14
  7   17   40   17   38   38   37    99   11
  8   19   20   43   28   25   26    75    7
  9   31   12   42   39   38   39    95   14
 10   36   17   24   27   29   29    87    7
 11   18   27   21   31   31   31    66   16
 12   34   15   10   15   18   17    65    4
 13   50   36   35   35   38   37    87    2
 14   45   20   36   37   39   39    83   12
 15   36   20   32   34   35   35    60   18
 16   20   36   47   28   25   26    69    3
 17   37   26   14   32   35   34    83   12
 18   49   35   44   47   49   49    94    9
 19   27   32   48   27   24   25    67    2
 20   12   22   25   26   24   25    76   10
 21   43   34   26   44   47   46    96   12
 22   26   17   29   22   22   22    75    5
 23   47   49   15   45   49   47    76   17
 24   35   31   30   24   25   25    64    4
 25   46   18   49   32   33   33    83    4
 26   36   29   13   25   27   26    67    8
 27   43   31   33   39   41   41    97    6
 28   29   48   47   55   52   53    94   14
 29   14   31   29   41   38   39    84   18
 30   18   50   24   36   34   33    96    2
 31   24   21   15   20   21   21    62    8
 32   23   45   14   24   25   24    71    3
 33   18   49   38   45   42   42    76   15
 34   17   37   30   35   33   33    82   10
 35   48   19   37   35   38   38    99    5
 36   14   28   47   41   37   38    72   18
 37   22   10   46   27   23   25   100    2
 38   29   13   13   19   22   21    88    5
 39   17   15   46   39   35   36    91   15
 40   17   48   50   44   39   40    77   11
 41   44   35   24   34   37   36    83    7
 42   46   34   11   35   39   38    61   18
 43   19   32   16   25   25   25    87    4
 44   44   39   46   48   48   48    86   12
 45   26   38   41   49   47   47    84   18
 46   35   32   29   27   28   28    77    3
 47   27   28   29   32   31   31    95    5
 48   10   44   38   43   37   38    98    8
 49   34   13   19   24   27   27    90    7
 50   15   35   26   39   36   37    99   11
 51   37   46   17   28   30   29    71    4
 52   11   17   28   28   25   26   100    8
 53   14   28   44   42   38   39    77   18
 54   11   21   30   26   23   24    90    6
 55   24   29   14   32   34   33    89   12
 56   45   31   26   33   35   35    68   11
 57   40   45   41   51   51   51    85   15
 58   49   49   48   63   63   63    91   19
 59   42   20   10   17   22   21    74    2
 60   44   27   36   38   40   40    85   10
 61   14   11   37   39   36   37    98   19
 62   35   40   13   22   24   23    70    1
 63   26   26   32   35   34   34    66   16
 64   40   39   13   34   37   36    60   16
