index 301
DMU 150
input 4
output 4
instance 1
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   49   16   30   44   25   23   23   22    70    0
  2   35   14   49   33   51   48   42   44    85   18
  3   28   39   20   21   39   40   42   42    81   19
  4   37   20   36   10   46   44   37   40    96   17
  5   22   45   23   31   39   42   45   44    84   17
  6   35   42   44   30   55   55   52   54    96   17
  7   40   15   34   27   37   36   33   34    60   18
  8   26   44   38   35   37   38   39   39    74   11
  9   30   48   31   44   48   50   54   53    94   15
 10   25   23   34   35   19   19   18   18    63    0
 11   37   36   15   39   36   37   41   40    68   18
 12   38   46   43   23   52   52   49   51    83   19
 13   46   34   39   20   30   29   26   28    64    6
 14   34   31   22   39   41   41   45   43    90   15
 15   26   42   24   42   29   31   34   33    62   11
 16   40   22   16   41   27   26   31   29    90    3
 17   26   29   28   27   26   27   27   27    96    0
 18   40   39   17   50   39   40   46   43    66   19
 19   36   48   40   40   52   53   54   53    84   18
 20   26   27   15   10   27   27   27   28    75   13
 21   32   33   24   18   35   35   35   35    76   15
 22   25   19   46   21   37   35   30   32    77   11
 23   45   24   45   37   41   39   36   37    75   10
 24   14   31   12   32   23   25   31   29    91    7
 25   29   17   34   12   32   30   25   27    82    9
 26   24   35   41   23   50   50   47   48    96   18
 27   40   16   49   48   40   37   33   34    86    3
 28   42   11   42   45   43   40   36   36    98    5
 29   10   28   45   26   34   34   30   31    93    5
 30   27   10   35   11   32   31   26   27    66   15
 31   15   49   29   31   35   37   41   40    87   10
 32   36   50   36   42   42   43   46   45    85    9
 33   11   26   45   15   36   36   31   33    67   16
 34   41   46   29   43   35   36   40   39    88    3
 35   21   17   21   39   34   34   37   35    79   16
 36   22   25   36   14   30   30   26   28    65   12
 37   17   37   10   21   24   25   30   28    75   11
 38   17   35   39   20   25   25   23   24    68    4
 39   23   46   17   31   20   23   28   26    76    2
 40   45   28   32   31   39   38   36   37    95    6
 41   20   19   48   44   45   44   40   40    97    9
 42   18   27   11   18   18   19   22   21    82    5
 43   42   19   46   33   40   38   32   34    89    5
 44   20   34   21   32   41   42   46   45    95   18
 45   34   39   22   16   37   38   39   39    96   12
 46   32   39   47   29   28   28   25   26    60    4
 47   45   37   47   32   43   42   39   40    64   15
 48   47   11   10   21   31   29   29   29    84   13
 49   44   47   47   21   38   38   35   36    61   12
 50   17   23   23   42   40   41   44   42    85   19
 51   23   36   22   35   33   35   38   37    71   15
 52   36   45   44   19   37   37   33   35    86    4
 53   44   11   33   16   46   42   36   39    94   17
 54   11   26   38   48   36   37   38   37    84   10
 55   49   47   39   38   58   58   58   58    96   17
 56   48   25   27   48   37   36   38   37    65   14
 57   23   50   11   26   15   17   21   20    60    2
 58   23   44   41   31   48   49   48   49    95   14
 59   30   29   18   47   27   28   32   30    68    9
 60   43   13   45   25   33   31   25   27    67    8
 61   40   24   38   48   38   37   37   37    63   14
 62   49   11   39   18   38   34   26   29    94    5
 63   23   26   21   11   32   32   31   31    80   15
 64   47   32   42   50   40   39   39   39    64   12
 65   36   10   41   16   46   43   35   38    83   19
 66   40   14   31   49   34   32   33   32    95    2
 67   10   14   31   22   24   24   21   22    81    6
 68   10   32   46   20   36   36   31   33    84    9
 69   19   22   44   36   39   39   35   36    89    9
 70   31   46   47   25   30   30   28   29    73    1
 71   23   17   41   49   35   34   33   33    87    5
 72   46   15   23   35   28   26   27   26    71    7
 73   40   25   43   11   52   49   41   45    96   18
 74   13   35   16   43   39   42   50   46   100   17
 75   40   32   24   49   39   39   44   42    94    8
 76   21   21   18   25   25   25   27   26    95    6
 77   37   40   17   11   33   33   34   35    78   14
 78   32   27   46   26   56   54   48   50    98   19
 79   13   13   19   36   32   33   35   33    85   16
 80   44   42   49   25   40   39   36   37    64   12
 81   47   29   35   25   37   36   34   35    74   11
 82   43   36   29   27   45   45   45   46    98   13
 83   45   36   39   31   41   41   39   40    70   14
 84   18   20   14   35   20   21   25   23    77    6
 85   27   50   20   15   29   31   33   33    84    8
 86   43   25   31   34   43   42   41   41    86   14
 87   36   28   40   26   52   51   47   48    96   18
 88   26   35   13   21   21   22   26   25    94    2
 89   37   25   21   48   40   40   45   42    98   11
 90   36   49   11   47   24   27   34   32    68    6
 91   42   36   22   17   28   28   28   29    78    6
 92   49   12   49   23   39   36   28   31    74    9
 93   12   33   23   15   32   33   33   34    65   19
 94   37   18   44   50   47   45   43   42    89   11
 95   36   17   10   46   19   19   24   22    68    4
 96   35   23   15   25   36   36   37   37    76   19
 97   20   26   18   45   38   39   44   42    88   17
 98   13   48   26   31   36   39   43   42    94   11
 99   15   20   27   37   25   26   27   26    74    7
100   34   20   40   17   37   35   29   32    79   11
101   29   35   26   23   28   29   29   29    63   11
102   32   48   28   45   32   34   38   37    79    5
103   20   29   16   45   23   25   29   27    63    9
104   12   10   43   14   22   20   14   16    69    3
105   46   28   38   20   29   27   24   26    69    4
106   12   17   23   40   27   28   30   28    65   13
107   21   22   46   26   36   34   29   31    90    5
108   39   16   11   17   29   28   29   29    83   13
109   28   16   22   26   28   27   27   27    64   13
110   21   35   46   21   24   24   21   22    64    2
111   38   46   46   16   31   31   27   30    69    4
112   27   25   21   11   21   21   20   21    61    8
113   47   50   41   13   31   31   28   30    61    7
114   39   16   43   39   38   36   33   34    62   14
115   23   26   23   24   28   28   29   29    69   12
116   49   18   18   20   35   33   32   33    98   10
117   28   22   18   25   36   36   37   37    79   19
118   27   28   39   27   46   45   42   43    84   18
119   25   17   34   19   43   42   38   39    88   19
120   44   30   45   32   51   49   45   47    85   16
121   39   33   39   48   44   44   45   44    99    5
122   17   44   46   33   38   39   38   38    67   13
123   29   36   37   14   24   23   21   22    65    3
124   15   30   43   25   33   33   29   31    98    2
125   33   30   11   48   28   29   36   33    74   10
126   30   35   48   34   52   51   48   49    97   13
127   13   34   22   46   23   25   29   27    65    7
128   49   17   24   48   44   42   44   43    84   16
129   16   27   39   39   35   35   35   34    81    9
130   38   31   26   45   23   24   26   25    66    2
131   21   48   22   33   22   24   28   27    68    4
132   48   37   36   31   37   36   35   36    73    9
133   37   48   45   39   42   43   42   42    66   14
134   32   11   35   43   45   43   42   41    83   18
135   50   10   20   38   35   34   34   34    60   18
136   17   25   45   16   28   27   22   24    73    5
137   45   40   19   45   35   36   40   38    60   16
138   26   15   18   33   26   26   27   26    73   10
139   31   11   49   33   53   50   43   45    91   19
140   15   30   44   38   35   35   34   34    76    9
141   21   23   27   20   29   29   28   28    75   11
142   25   21   26   23   42   42   40   41    89   20
143   35   11   11   41   27   27   30   29    77   11
144   29   49   48   32   49   50   48   49    91   12
145   48   21   42   37   45   43   40   41    64   19
146   23   44   40   30   32   33   33   33    92    0
147   40   32   48   13   38   36   29   32    91    3
148   41   37   45   26   33   32   29   30    61    8
149   19   40   24   28   21   22   25   24    71    3
150   21   32   46   41   34   34   33   33    65   10
